algorithm,input_size,case_type,trial_id,probes,time_taken,memory_used,found,load_factor,collision_count
fibonacci_search,80,best_case,5,7,2.769999991869554e-05,2936,True,,
hashing_search,80,best_case,5,4,0.0002542000001994893,2936,True,2.0,46
linear_search,90,best_case,1,22,3.319999814266339e-05,3296,True,,
binary_search,90,best_case,1,6,6.339999890769832e-05,3296,True,,
interpolation_search,90,best_case,1,2,5.6700002460274845e-05,3296,True,,
exponential_search,90,best_case,1,12,4.6799999836366624e-05,3296,True,,
fibonacci_search,90,best_case,1,8,3.4199998481199145e-05,3296,True,,
hashing_search,90,best_case,1,1,0.00016849999883561395,3296,True,2.0,49
linear_search,90,best_case,2,20,1.5899997379165143e-05,3296,True,,
binary_search,90,best_case,2,6,2.8299997211433947e-05,3296,True,,
interpolation_search,90,best_case,2,3,4.140000237384811e-05,3296,True,,
exponential_search,90,best_case,2,12,4.8000001697801054e-05,3296,True,,
fibonacci_search,90,best_case,2,8,4.0000002627493814e-05,3296,True,,
hashing_search,90,best_case,2,1,0.00015589999748044647,3296,True,2.0,53
linear_search,90,best_case,3,90,8.719999823370017e-05,3296,True,,
binary_search,90,best_case,3,6,4.400000034365803e-05,3296,True,,
interpolation_search,90,best_case,3,3,0.00012799999967683107,3296,True,,
exponential_search,90,best_case,3,12,9.62999984039925e-05,3296,True,,
fibonacci_search,90,best_case,3,8,4.269999772077426e-05,3296,True,,
hashing_search,90,best_case,3,2,0.00017549999756738544,3296,True,2.0,50
linear_search,90,best_case,4,6,3.600000127335079e-05,3296,True,,
binary_search,90,best_case,4,6,4.6799999836366624e-05,3296,True,,
interpolation_search,90,best_case,4,3,6.790000043110922e-05,3296,True,,
exponential_search,90,best_case,4,12,4.199999966658652e-05,3296,True,,
fibonacci_search,90,best_case,4,8,5.369999780668877e-05,3296,True,,
hashing_search,90,best_case,4,1,0.00016570000298088416,3296,True,2.0,54
linear_search,90,best_case,5,36,2.2399999579647556e-05,3296,True,,
binary_search,90,best_case,5,6,4.039999839733355e-05,3296,True,,
interpolation_search,90,best_case,5,3,3.749999814317562e-05,3296,True,,
exponential_search,90,best_case,5,12,4.079999780515209e-05,3296,True,,
fibonacci_search,90,best_case,5,8,3.229999856557697e-05,3296,True,,
hashing_search,90,best_case,5,2,0.0001570999993418809,3296,True,2.0,53
linear_search,100,best_case,1,94,4.8999998398358e-05,3656,True,,
binary_search,100,best_case,1,6,5.919999966863543e-05,3656,True,,
interpolation_search,100,best_case,1,4,4.0499999158782884e-05,3656,True,,
exponential_search,100,best_case,1,12,7.159999950090423e-05,3656,True,,
fibonacci_search,100,best_case,1,8,4.830000034417026e-05,3656,True,,
hashing_search,100,best_case,1,1,0.0001874999979918357,3656,True,2.0,53
linear_search,100,best_case,2,96,4.5500000851461664e-05,3656,True,,
binary_search,100,best_case,2,6,5.459999738377519e-05,3656,True,,
interpolation_search,100,best_case,2,3,6.519999806187116e-05,3656,True,,
exponential_search,100,best_case,2,12,3.909999941242859e-05,3656,True,,
fibonacci_search,100,best_case,2,8,3.930000093532726e-05,3656,True,,
hashing_search,100,best_case,2,1,0.0001849999971454963,3656,True,2.0,55
linear_search,100,best_case,3,51,4.819999958272092e-05,3656,True,,
binary_search,100,best_case,3,6,6.760000178474002e-05,3656,True,,
interpolation_search,100,best_case,3,2,3.80000019504223e-05,3656,True,,
exponential_search,100,best_case,3,12,7.230000119307078e-05,3656,True,,
fibonacci_search,100,best_case,3,8,4.529999932856299e-05,3656,True,,
hashing_search,100,best_case,3,1,0.0002886000002035871,3656,True,2.0,57
linear_search,100,best_case,4,43,2.9000002541579306e-05,3656,True,,
binary_search,100,best_case,4,6,6.10999995842576e-05,3656,True,,
interpolation_search,100,best_case,4,2,4.749999789055437e-05,3656,True,,
exponential_search,100,best_case,4,12,5.439999949885532e-05,3656,True,,
fibonacci_search,100,best_case,4,8,5.5199998314492404e-05,3656,True,,
hashing_search,100,best_case,4,3,0.0001799000019673258,3656,True,2.0,57
linear_search,100,best_case,5,64,3.469999865046702e-05,3656,True,,
binary_search,100,best_case,5,6,4.3000000005122274e-05,3656,True,,
interpolation_search,100,best_case,5,2,6.779999966965988e-05,3656,True,,
exponential_search,100,best_case,5,12,4.5500000851461664e-05,3656,True,,
fibonacci_search,100,best_case,5,8,3.6699999327538535e-05,3656,True,,
hashing_search,100,best_case,5,3,0.00017500000103609636,3656,True,2.0,57
linear_search,110,best_case,1,79,3.740000101970509e-05,4016,True,,
binary_search,110,best_case,1,6,4.160000025876798e-05,4016,True,,
interpolation_search,110,best_case,1,5,7.48999991628807e-05,4016,True,,
exponential_search,110,best_case,1,13,5.750000127591193e-05,4016,True,,
fibonacci_search,110,best_case,1,6,3.559999822755344e-05,4016,True,,
hashing_search,110,best_case,1,4,0.0001419000000169035,4016,True,2.0,61
linear_search,110,best_case,2,101,3.879999712808058e-05,4016,True,,
binary_search,110,best_case,2,6,3.769999966607429e-05,4016,True,,
interpolation_search,110,best_case,2,4,3.6799996451009065e-05,4016,True,,
exponential_search,110,best_case,2,13,3.780000042752363e-05,4016,True,,
fibonacci_search,110,best_case,2,6,2.9599999834317714e-05,4016,True,,
hashing_search,110,best_case,2,4,0.00018289999934495427,4016,True,2.0,64
linear_search,110,best_case,3,25,1.920000067912042e-05,4016,True,,
binary_search,110,best_case,3,6,3.849999848171137e-05,4016,True,,
interpolation_search,110,best_case,3,3,6.919999941601418e-05,4016,True,,
exponential_search,110,best_case,3,13,5.8900001022266224e-05,4016,True,,
fibonacci_search,110,best_case,3,6,3.8300000596791506e-05,4016,True,,
hashing_search,110,best_case,3,1,0.00018850000196835026,4016,True,2.0,62
linear_search,110,best_case,4,86,4.190000254311599e-05,4016,True,,
binary_search,110,best_case,4,6,6.289999873843044e-05,4016,True,,
interpolation_search,110,best_case,4,5,6.759999814676121e-05,4016,True,,
exponential_search,110,best_case,4,13,3.849999848171137e-05,4016,True,,
fibonacci_search,110,best_case,4,6,3.130000186502002e-05,4016,True,,
hashing_search,110,best_case,4,2,0.0001908999984152615,4016,True,2.0,61
linear_search,110,best_case,5,91,5.91000025451649e-05,4016,True,,
binary_search,110,best_case,5,6,4.7199999244185165e-05,4016,True,,
interpolation_search,110,best_case,5,2,3.9999998989515007e-05,4016,True,,
exponential_search,110,best_case,5,13,4.160000025876798e-05,4016,True,,
fibonacci_search,110,best_case,5,6,3.429999924264848e-05,4016,True,,
hashing_search,110,best_case,5,2,0.00020479999875533395,4016,True,2.0,63
linear_search,120,best_case,1,8,2.5200002710334957e-05,4376,True,,
binary_search,120,best_case,1,6,5.160000000614673e-05,4376,True,,
interpolation_search,120,best_case,1,3,4.6799999836366624e-05,4376,True,,
exponential_search,120,best_case,1,11,6.270000085351057e-05,4376,True,,
fibonacci_search,120,best_case,1,6,4.890000127488747e-05,4376,True,,
hashing_search,120,best_case,1,1,0.0001553999973111786,4376,True,2.0,69
linear_search,120,best_case,2,4,9.60000033956021e-06,4376,True,,
binary_search,120,best_case,2,6,5.280000186758116e-05,4376,True,,
interpolation_search,120,best_case,2,4,4.989999797544442e-05,4376,True,,
exponential_search,120,best_case,2,11,4.2100000428035855e-05,4376,True,,
fibonacci_search,120,best_case,2,6,3.2500000088475645e-05,4376,True,,
hashing_search,120,best_case,2,1,0.00014409999857889488,4376,True,2.0,68
linear_search,120,best_case,3,78,3.060000017285347e-05,4376,True,,
binary_search,120,best_case,3,6,3.550000110408291e-05,4376,True,,
interpolation_search,120,best_case,3,2,3.909999941242859e-05,4376,True,,
exponential_search,120,best_case,3,11,3.270000161137432e-05,4376,True,,
fibonacci_search,120,best_case,3,6,2.390000008745119e-05,4376,True,,
hashing_search,120,best_case,3,3,0.00013330000001587905,4376,True,2.0,70
linear_search,120,best_case,4,120,4.8800000513438135e-05,4376,True,,
binary_search,120,best_case,4,6,3.6299999919719994e-05,4376,True,,
interpolation_search,120,best_case,4,3,7.389999882434495e-05,4376,True,,
exponential_search,120,best_case,4,11,5.610000152955763e-05,4376,True,,
fibonacci_search,120,best_case,4,6,3.609999839682132e-05,4376,True,,
hashing_search,120,best_case,4,1,0.00023179999698186293,4376,True,2.0,70
linear_search,120,best_case,5,65,2.8299997211433947e-05,4376,True,,
binary_search,120,best_case,5,6,3.0399998649954796e-05,4376,True,,
interpolation_search,120,best_case,5,2,4.1799998143687844e-05,4376,True,,
exponential_search,120,best_case,5,11,2.9499999072868377e-05,4376,True,,
fibonacci_search,120,best_case,5,6,6.239999856916256e-05,4376,True,,
hashing_search,120,best_case,5,3,0.0001475000026402995,4376,True,2.0,69
linear_search,130,best_case,1,62,3.130000186502002e-05,4736,True,,
binary_search,130,best_case,1,7,4.2900002881651744e-05,4736,True,,
interpolation_search,130,best_case,1,3,3.079999805777334e-05,4736,True,,
exponential_search,130,best_case,1,14,4.570000237436034e-05,4736,True,,
fibonacci_search,130,best_case,1,7,3.769999966607429e-05,4736,True,,
hashing_search,130,best_case,1,1,0.00019099999917671084,4736,True,2.0,73
linear_search,130,best_case,2,15,1.089999932446517e-05,4736,True,,
binary_search,130,best_case,2,7,6.0500002291519195e-05,4736,True,,
interpolation_search,130,best_case,2,2,4.7999998059822246e-05,4736,True,,
exponential_search,130,best_case,2,14,4.239999907440506e-05,4736,True,,
fibonacci_search,130,best_case,2,7,3.499999729683623e-05,4736,True,,
hashing_search,130,best_case,2,1,0.00020629999926313758,4736,True,2.0,76
linear_search,130,best_case,3,122,5.6300003052456304e-05,4736,True,,
binary_search,130,best_case,3,7,4.7999998059822246e-05,4736,True,,
interpolation_search,130,best_case,3,3,4.160000025876798e-05,4736,True,,
exponential_search,130,best_case,3,14,6.340000254567713e-05,4736,True,,
fibonacci_search,130,best_case,3,7,5.109999983687885e-05,4736,True,,
hashing_search,130,best_case,3,2,0.0002282999994349666,4736,True,2.0,74
linear_search,130,best_case,4,38,2.519999907235615e-05,4736,True,,
binary_search,130,best_case,4,7,6.349999966914766e-05,4736,True,,
interpolation_search,130,best_case,4,2,6.98000003467314e-05,4736,True,,
exponential_search,130,best_case,4,14,5.1700000767596066e-05,4736,True,,
fibonacci_search,130,best_case,4,7,4.8099998821271583e-05,4736,True,,
hashing_search,130,best_case,4,2,0.0001799000019673258,4736,True,2.0,73
linear_search,130,best_case,5,91,3.389999983482994e-05,4736,True,,
binary_search,130,best_case,5,7,5.789999704575166e-05,4736,True,,
interpolation_search,130,best_case,5,2,4.1700001020217314e-05,4736,True,,
exponential_search,130,best_case,5,14,5.370000144466758e-05,4736,True,,
fibonacci_search,130,best_case,5,7,4.079999780515209e-05,4736,True,,
hashing_search,130,best_case,5,2,0.000148899998748675,4736,True,2.0,71
linear_search,140,best_case,1,12,1.4500001270789653e-05,5096,True,,
binary_search,140,best_case,1,7,4.9600002967054024e-05,5096,True,,
interpolation_search,140,best_case,1,2,4.0899998566601425e-05,5096,True,,
exponential_search,140,best_case,1,15,6.610000127693638e-05,5096,True,,
fibonacci_search,140,best_case,1,5,5.1799997891066596e-05,5096,True,,
