trial_id,probes,time_taken,memory_used,found,load_factor,collision_count
1,8,7.810000170138665e-05,6896,True,,
2,5,6.949999806238338e-05,6896,True,,
3,5,7.65999975556042e-05,6896,True,,
4,8,8.309999975608662e-05,6896,True,,
5,7,0.0001324000004387,6896,True,,
1,7,5.109999983687885e-05,6896,True,,
2,7,3.640000068116933e-05,6896,True,,
3,7,7.059999916236848e-05,6896,True,,
4,7,3.849999848171137e-05,6896,True,,
5,7,5.4200001613935456e-05,6896,True,,
1,8,7.609999738633633e-05,6896,True,,
2,6,6.330000178422779e-05,6896,True,,
3,7,7.800000093993731e-05,6896,True,,
4,4,8.680000246386044e-05,6896,True,,
5,8,0.0001338000001851,6896,True,,
1,8,5.049999890616164e-05,6896,False,,
2,8,5.240000245976262e-05,6896,False,,
3,8,6.0200000007171184e-05,6896,False,,
4,8,5.329999839887023e-05,6896,False,,
5,8,5.2900002629030496e-05,6896,False,,
1,8,6.489999941550195e-05,6896,True,,
2,8,5.109999983687885e-05,6896,True,,
3,8,6.690000009257346e-05,6896,True,,
4,8,6.510000093840063e-05,6896,True,,
5,8,5.8999998145736754e-05,6896,True,,
1,7,7.519999780924991e-05,7256,True,,
2,8,8.209999941755086e-05,7256,True,,
3,7,7.750000077066943e-05,7256,True,,
4,8,7.960000220919028e-05,7256,True,,
