input_size,comparisons,swaps_or_shifts,presortedness_score,duplicate_ratio,value_range,probes,collision_count,domain,algorithm,input_condition
90,889.0,504.0,0.4327,0.0,97196.0,0.0,0.0,sorting,heap_sort,random
90,0.0,450.0,0.4327,0.0,97196.0,0.0,0.0,sorting,radix_sort,random
90,4005.0,85.0,0.5049,0.0,95216.0,0.0,0.0,sorting,selection_sort,random
90,900.0,515.0,0.5049,0.0,95216.0,0.0,0.0,sorting,heap_sort,random
90,0.0,450.0,0.5049,0.0,95216.0,0.0,0.0,sorting,radix_sort,random
90,4005.0,86.0,0.5091,0.0,97625.0,0.0,0.0,sorting,selection_sort,random
90,899.0,508.0,0.5091,0.0,97625.0,0.0,0.0,sorting,heap_sort,random
90,0.0,450.0,0.5091,0.0,97625.0,0.0,0.0,sorting,radix_sort,random
90,4005.0,84.0,0.4846,0.0,99074.0,0.0,0.0,sorting,selection_sort,random
90,898.0,506.0,0.4846,0.0,99074.0,0.0,0.0,sorting,heap_sort,random
90,0.0,450.0,0.4846,0.0,99074.0,0.0,0.0,sorting,radix_sort,random
100,4950.0,2530.0,0.4889,0.0,99315.0,0.0,0.0,sorting,bubble_sort,random
100,4950.0,96.0,0.4889,0.0,99315.0,0.0,0.0,sorting,selection_sort,random
100,2622.0,2530.0,0.4889,0.0,99315.0,0.0,0.0,sorting,insertion_sort,random
100,536.0,672.0,0.4889,0.0,99315.0,0.0,0.0,sorting,merge_sort,random
100,631.0,345.0,0.4889,0.0,99315.0,0.0,0.0,sorting,quick_sort,random
100,1036.0,582.0,0.4889,0.0,99315.0,0.0,0.0,sorting,heap_sort,random
100,0.0,500.0,0.4889,0.0,99315.0,0.0,0.0,sorting,radix_sort,random
100,4760.0,2115.0,0.5727,0.0,98096.0,0.0,0.0,sorting,bubble_sort,random
100,4950.0,97.0,0.5727,0.0,98096.0,0.0,0.0,sorting,selection_sort,random
100,536.0,672.0,0.5727,0.0,98096.0,0.0,0.0,sorting,merge_sort,random
100,717.0,468.0,0.5727,0.0,98096.0,0.0,0.0,sorting,quick_sort,random
100,1031.0,587.0,0.5727,0.0,98096.0,0.0,0.0,sorting,heap_sort,random
100,0.0,500.0,0.5727,0.0,98096.0,0.0,0.0,sorting,radix_sort,random
100,4845.0,2252.0,0.5451,0.0,98439.0,0.0,0.0,sorting,bubble_sort,random
100,4950.0,96.0,0.5451,0.0,98439.0,0.0,0.0,sorting,selection_sort,random
100,2345.0,2252.0,0.5451,0.0,98439.0,0.0,0.0,sorting,insertion_sort,random
100,544.0,672.0,0.5451,0.0,98439.0,0.0,0.0,sorting,merge_sort,random
100,540.0,299.0,0.5451,0.0,98439.0,0.0,0.0,sorting,quick_sort,random
100,1039.0,578.0,0.5451,0.0,98439.0,0.0,0.0,sorting,heap_sort,random
100,0.0,500.0,0.5451,0.0,98439.0,0.0,0.0,sorting,radix_sort,random
100,4947.0,2568.0,0.4812,0.0,93546.0,0.0,0.0,sorting,bubble_sort,random
100,4950.0,94.0,0.4812,0.0,93546.0,0.0,0.0,sorting,selection_sort,random
100,2663.0,2568.0,0.4812,0.0,93546.0,0.0,0.0,sorting,insertion_sort,random
100,542.0,672.0,0.4812,0.0,93546.0,0.0,0.0,sorting,merge_sort,random
100,631.0,425.0,0.4812,0.0,93546.0,0.0,0.0,sorting,quick_sort,random
100,1037.0,590.0,0.4812,0.0,93546.0,0.0,0.0,sorting,heap_sort,random
100,0.0,500.0,0.4812,0.0,93546.0,0.0,0.0,sorting,radix_sort,random
100,4947.0,2628.0,0.4691,0.0,99649.0,0.0,0.0,sorting,bubble_sort,random
